time,consumption,name,category,description,pid,mainThreadIndex,itération
3487.602515,9066263,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3497.594174,6900364,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3507.614201,6688436,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3517.598421,5933973,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3527.594721,6489224,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3537.62095,6612142,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3547.614985,6264581,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3557.594142,6230672,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3567.596032,6650289,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3577.593788,6239149,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3587.593391,5942451,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3597.594892,5844964,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3607.59578,4870096,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3617.595531,5654230,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3627.59584,6154378,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3637.595842,5374484,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3647.596059,5357531,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3657.594195,5599128,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3667.595413,4798041,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3677.59353,5276998,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3687.592417,5107456,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3697.592339,5026923,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3707.592768,5149841,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3717.595828,6290012,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3727.596663,6807116,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3737.595893,6353590,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3747.596228,6290012,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3757.595407,6476508,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3767.596015,5980598,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3777.596817,5628797,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3787.595573,5781386,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3797.596669,5904304,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3807.595346,5251566,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3817.593167,5501641,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3827.592038,5556743,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3837.593383,5183749,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3847.593792,5675422,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3857.595258,5077786,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3867.594924,4916721,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3877.595774,5938212,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3887.594558,4492866,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3897.593908,5764431,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3907.595387,5306668,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3917.593039,4916721,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3927.593952,5603366,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3937.594073,5382962,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3947.59659,5743239,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3957.59333,5433824,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3967.595556,5560981,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3977.594447,4484389,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3987.599757,5111694,Power: DRAM,power,Consumption of the dram domain,83662,0,12
3997.598121,6222195,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4007.59467,5883111,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4017.594235,6336636,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4027.596274,5476210,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4037.593597,5972120,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4047.595827,6294251,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4057.617296,6417168,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4067.610372,6374783,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4077.593215,5298191,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4087.594481,5162557,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4097.594498,5688137,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4107.599236,6167094,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4117.593869,6349352,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4127.600664,6226434,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4137.596143,5878872,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4147.595739,5972120,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4157.594218,5794102,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4167.591429,4713270,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4177.596085,5828010,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4187.596036,5823771,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4197.597817,5798340,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4207.613541,6044176,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4217.594264,7141961,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4227.594766,6078084,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4237.600597,5616082,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4247.597678,5815294,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4257.593684,6726583,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4267.596313,6095039,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4277.59349,6290011,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4287.5951,5798340,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4297.594166,5577935,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4307.595531,5162557,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4317.593169,6290012,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4327.593681,5984836,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4337.592337,5811056,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4347.595095,6184048,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4357.592706,5637275,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4367.592951,5819533,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4377.593283,5599127,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4387.594256,6781684,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4397.595907,5217659,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4407.596427,5955166,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4417.593101,6362067,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4427.592453,5281237,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4437.591499,5387200,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4447.59374,5628798,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4457.592044,4840427,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4467.59161,5645752,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4477.593286,5823771,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4487.602665,7319980,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4497.595544,6472270,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4507.596971,6633334,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4517.643988,7311503,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4529.338057,7175870,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4537.593546,4225837,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4547.595399,6230672,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4557.593615,5997552,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4567.59363,5463494,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4577.596503,5895826,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4587.605003,8659363,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4597.595774,9456211,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4607.59692,6217956,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4617.595239,6484986,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4627.595531,5497402,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4637.599055,6306967,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4647.601416,7485283,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4657.594141,7671780,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4667.592368,6459554,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4677.600593,6379022,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4687.596081,6629096,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4697.59503,6828308,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4707.600181,6658766,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4717.597947,7014805,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4727.59585,7298787,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4737.595226,6260342,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4747.595192,5989075,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4757.594351,6095038,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4767.598157,6768969,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4777.596174,6747775,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4787.597165,6900364,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4797.599618,8455912,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4807.599605,8557638,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4817.59492,7769266,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4827.59457,6366306,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4837.660669,7324219,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4847.595016,6357829,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4857.5944,6692674,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4867.599448,8222792,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4877.597226,9256999,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4887.598296,8650885,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4897.595323,6650289,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4907.598104,6849501,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4917.594572,7252164,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4927.594259,6065368,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4937.594854,8659363,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4947.598883,8099874,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4957.594366,6226434,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4967.601047,7862514,Power: DRAM,power,Consumption of the dram domain,83662,0,12
4977.608727,7341173,Power: DRAM,power,Consumption of the dram domain,83662,0,12
