time,CPU_Consumption,category,pid,mainThreadIndex,itération
3414.387339,437978108,power,71855,0,0
3424.761225,102945964,power,71855,0,0
3428.336293,163760715,power,73894,0,2
3434.491294,105523003,power,71855,0,0
3436.148107,71258544,power,73894,0,2
3444.494705,111202664,power,71855,0,0
3454.491293,114203559,power,71855,0,0
3461.329956,238121880,power,89599,0,18
3464.489504,113457574,power,71855,0,0
3471.332119,104675293,power,89599,0,18
3473.155098,396694608,power,73894,0,2
3474.489169,116255018,power,71855,0,0
3481.308995,103403727,power,89599,0,18
3483.260572,111134847,power,73894,0,2
3484.488501,115712484,power,71855,0,0
3487.602515,110812717,power,83662,0,12
3491.320875,107727051,power,89599,0,18
3493.257548,111694336,power,73894,0,2
3494.490082,113610162,power,71855,0,0
3497.594174,99131266,power,83662,0,12
3501.30689,110270182,power,89599,0,18
3503.259019,112864176,power,73894,0,2
3504.488813,115356445,power,71855,0,0
3507.614201,101250542,power,83662,0,12
3511.327462,112525092,power,89599,0,18
3513.256745,117899577,power,73894,0,2
3514.492337,116797553,power,71855,0,0
3517.598421,99928114,power,83662,0,12
3521.310699,115746393,power,89599,0,18
3523.259873,117441813,power,73894,0,2
3523.829735,296783447,power,75817,0,4
3524.488349,118662516,power,71855,0,0
3527.594721,104454889,power,83662,0,12
3531.309297,117458767,power,89599,0,18
3533.258374,115475125,power,73894,0,2
3534.401653,104573567,power,75817,0,4
3534.490207,117611356,power,71855,0,0
3537.62095,105539957,power,83662,0,12
3537.69893,128953721,power,87606,0,16
3541.309515,117323134,power,89599,0,18
3543.258313,118018256,power,73894,0,2
3543.824786,96113417,power,75817,0,4
3544.499184,118170844,power,71855,0,0
3547.614985,107676189,power,83662,0,12
3548.164579,135311551,power,87606,0,16
3550.83484,140482584,power,81735,0,10
3551.30803,117526584,power,89599,0,18
3553.256717,118052165,power,73894,0,2
3553.823925,108320448,power,75817,0,4
3554.491479,116543240,power,71855,0,0
3555.860485,51998562,power,87606,0,16
3557.594142,108693440,power,83662,0,12
3559.886747,95350478,power,81735,0,10
3561.303646,117882622,power,89599,0,18
3563.257764,119340685,power,73894,0,2
3563.825211,109998915,power,75817,0,4
3564.487001,117373996,power,71855,0,0
3565.860587,105014377,power,87606,0,16
3567.596032,112236871,power,83662,0,12
3569.824777,103454589,power,81735,0,10
3570.466153,198262532,power,85659,0,14
