time,DRAM_Consumption,category,pid,mainThreadIndex,itération
3414.387339,28152465,power,71855,0,0
3424.761225,6671482,power,71855,0,0
3428.336293,12596978,power,73894,0,2
3434.491294,6116231,power,71855,0,0
3436.148107,4636976,power,73894,0,2
3444.494705,5675422,power,71855,0,0
3454.491293,5539788,power,71855,0,0
3461.329956,18107096,power,89599,0,18
3464.489504,5912781,power,71855,0,0
3471.332119,7103814,power,89599,0,18
3473.155098,24676853,power,73894,0,2
3474.489169,6162855,power,71855,0,0
3481.308995,7052951,power,89599,0,18
3483.260572,6184048,power,73894,0,2
3484.488501,6535848,power,71855,0,0
3487.602515,9066263,power,83662,0,12
3491.320875,6167094,power,89599,0,18
3493.257548,6633335,power,73894,0,2
3494.490082,6247627,power,71855,0,0
3497.594174,6900364,power,83662,0,12
3501.30689,6696913,power,89599,0,18
3503.259019,6531609,power,73894,0,2
3504.488813,6616380,power,71855,0,0
3507.614201,6688436,power,83662,0,12
3511.327462,6824070,power,89599,0,18
3513.256745,6285773,power,73894,0,2
3514.492337,6281535,power,71855,0,0
3517.598421,5933973,power,83662,0,12
3521.310699,6285773,power,89599,0,18
3523.259873,6523133,power,73894,0,2
3523.829735,20340813,power,75817,0,4
3524.488349,5607605,power,71855,0,0
3527.594721,6489224,power,83662,0,12
3531.309297,6641812,power,89599,0,18
3533.258374,5620320,power,73894,0,2
3534.401653,5293952,power,75817,0,4
3534.490207,5853441,power,71855,0,0
3537.62095,6612142,power,83662,0,12
3537.69893,9019639,power,87606,0,16
3541.309515,6273058,power,89599,0,18
3543.258313,6018745,power,73894,0,2
3543.824786,6095039,power,75817,0,4
3544.499184,5747477,power,71855,0,0
3547.614985,6264581,power,83662,0,12
3548.164579,9057787,power,87606,0,16
3550.83484,11219448,power,81735,0,10
3551.30803,6167094,power,89599,0,18
3553.256717,5798340,power,73894,0,2
3553.823925,6205241,power,75817,0,4
3554.491479,6438362,power,71855,0,0
3555.860485,3314548,power,87606,0,16
3557.594142,6230672,power,83662,0,12
