time,CPU_Consumption,category,pid,mainThreadIndex,itération
3355.73884,169033474,power,82727,0,11
3365.737305,104997423,power,82727,0,11
3375.737222,104726155,power,82727,0,11
3385.734049,93231202,power,82727,0,11
3395.736022,104098849,power,82727,0,11
3404.894441,117424858,power,88607,0,17
3405.734513,108337403,power,82727,0,11
3414.914379,98944770,power,88607,0,17
3415.732074,113288031,power,82727,0,11
3419.17044,124409993,power,86661,0,15
3422.011572,165693495,power,80758,0,9
3424.889365,102132162,power,88607,0,17
3425.746504,113508437,power,82727,0,11
3429.163188,102606879,power,86661,0,15
3430.717836,92993842,power,80758,0,9
3434.890823,108303494,power,88607,0,17
3435.734354,115627713,power,82727,0,11
3439.142645,103183323,power,86661,0,15
3440.682885,93587239,power,80758,0,9
3444.668891,153622097,power,78787,0,7
3444.887093,109863281,power,88607,0,17
3445.732228,112304687,power,82727,0,11
3449.136553,104336209,power,86661,0,15
3450.683003,105421279,power,80758,0,9
3450.723471,62459310,power,78787,0,7
3454.889314,112796360,power,88607,0,17
3455.735525,112660726,power,82727,0,11
3459.16342,107540554,power,86661,0,15
3460.68223,115390353,power,80758,0,9
3460.724921,105794271,power,78787,0,7
3464.887056,117950439,power,88607,0,17
3465.733099,117475722,power,82727,0,11
3469.162537,96588135,power,86661,0,15
3470.681408,116661920,power,80758,0,9
3470.723794,106014675,power,78787,0,7
3474.890631,117543538,power,88607,0,17
3475.736094,117848714,power,82727,0,11
3475.905705,188344319,power,76794,0,5
3477.970271,248548719,power,84651,0,13
3479.162023,111100938,power,86661,0,15
3480.490436,42300754,power,76794,0,5
3480.680919,118628608,power,80758,0,9
3480.722577,110388862,power,78787,0,7
3484.888563,117085775,power,88607,0,17
3485.733841,117204454,power,82727,0,11
3489.164343,111728245,power,86661,0,15
3489.764037,103539361,power,76794,0,5
3490.68233,116678873,power,80758,0,9
3490.724838,109880235,power,78787,0,7
3494.890522,117238363,power,88607,0,17
3495.73294,118577745,power,82727,0,11
3499.164723,110626220,power,86661,0,15
3500.035922,102776422,power,76794,0,5
3500.683505,116950141,power,80758,0,9
3500.722038,110677084,power,78787,0,7
3504.889904,116916233,power,88607,0,17
3505.733014,118950738,power,82727,0,11
3508.155981,185936822,power,84651,0,13
3509.16471,116831462,power,86661,0,15
3509.758021,110609266,power,76794,0,5
3510.681549,117780898,power,80758,0,9
3510.710222,113440619,power,78787,0,7
3510.800918,31500922,power,84651,0,13
3514.889136,118696424,power,88607,0,17
3515.734473,117814806,power,82727,0,11
3519.163757,118594699,power,86661,0,15
3519.756225,115695530,power,76794,0,5
3519.936485,99368625,power,84651,0,13
3520.682504,118374294,power,80758,0,9
3520.749459,114949545,power,78787,0,7
3524.889101,105489095,power,88607,0,17
3525.733124,117509630,power,82727,0,11
3529.163501,117780898,power,86661,0,15
3529.758083,117950439,power,76794,0,5
3529.93621,112152100,power,84651,0,13
3530.680638,119645861,power,80758,0,9
3530.722482,113271077,power,78787,0,7
3534.890327,129292806,power,88607,0,17
3535.735256,117916531,power,82727,0,11
3539.162387,117102729,power,86661,0,15
3539.759518,117814806,power,76794,0,5
3539.937024,114780002,power,84651,0,13
3540.680268,119154188,power,80758,0,9
3540.722689,116102431,power,78787,0,7
3544.887055,107167562,power,88607,0,17
3545.733461,117730035,power,82727,0,11
3549.162826,117509630,power,86661,0,15
3549.759484,116644965,power,76794,0,5
3549.935589,117916531,power,84651,0,13
3550.681007,119120280,power,80758,0,9
3550.738184,116221110,power,78787,0,7
3554.888347,119205051,power,88607,0,17
3555.731822,117272271,power,82727,0,11
3559.163054,117933485,power,86661,0,15
3559.759888,104166667,power,76794,0,5
3559.934387,117204454,power,84651,0,13
3560.682194,117577447,power,80758,0,9
3560.722154,117763943,power,78787,0,7
3564.888656,118679471,power,88607,0,17
3565.736688,117645263,power,82727,0,11
3569.163854,118950738,power,86661,0,15
3569.759838,117746989,power,76794,0,5
3569.935137,117526585,power,84651,0,13
3570.682192,116763645,power,80758,0,9
3570.724806,116390652,power,78787,0,7
3574.89107,119018554,power,88607,0,17
3575.735592,117543539,power,82727,0,11
3579.162443,118136936,power,86661,0,15
3579.757641,117763943,power,76794,0,5
3579.936973,118492974,power,84651,0,13
3580.680796,118577745,power,80758,0,9
3580.724182,118459066,power,78787,0,7
3584.887667,120273166,power,88607,0,17
3585.734402,117899577,power,82727,0,11
3589.162543,116577148,power,86661,0,15
3589.759606,118086073,power,76794,0,5
3589.937114,119035509,power,84651,0,13
3590.683648,119222005,power,80758,0,9
3590.72447,117797851,power,78787,0,7
3594.918082,117916532,power,88607,0,17
3597.075504,125800238,power,82727,0,11
3599.163674,117509630,power,86661,0,15
3599.756838,118832058,power,76794,0,5
3599.936407,118204752,power,84651,0,13
3600.68093,119069418,power,80758,0,9
3600.72311,119662815,power,78787,0,7
3604.82155,118984646,power,74879,0,3
3604.892032,112118191,power,88607,0,17
3605.736158,102284750,power,82727,0,11
3609.162996,118069119,power,86661,0,15
3609.760898,117594401,power,76794,0,5
3609.934471,117763944,power,84651,0,13
3610.68211,118628607,power,80758,0,9
3610.724429,119086371,power,78787,0,7
3614.361076,88636610,power,74879,0,3
3614.894481,115000407,power,88607,0,17
3615.736283,111372206,power,82727,0,11
3619.162921,119222005,power,86661,0,15
3619.758109,117153592,power,76794,0,5
3619.935705,119018554,power,84651,0,13
3620.725281,119069418,power,78787,0,7
3620.893836,117238363,power,80758,0,9
3624.24961,98961724,power,74879,0,3
3624.890468,113762749,power,88607,0,17
3625.734318,116441514,power,82727,0,11
3629.162409,118967692,power,86661,0,15
3629.758708,116712782,power,76794,0,5
3629.936322,120357937,power,84651,0,13
3630.684507,111863878,power,80758,0,9
3630.721848,117780897,power,78787,0,7
3634.299781,99572076,power,74879,0,3
3635.004541,115882026,power,88607,0,17
3635.734105,114017063,power,82727,0,11
3639.163395,119103326,power,86661,0,15
3639.75959,117730035,power,76794,0,5
3639.960241,118442112,power,84651,0,13
3640.685756,114169651,power,80758,0,9
3640.723523,107608371,power,78787,0,7
3644.289948,101979573,power,74879,0,3
3644.890116,111083984,power,88607,0,17
3645.736676,113610162,power,82727,0,11
3649.161547,118374295,power,86661,0,15
3649.760984,119205051,power,76794,0,5
3649.936689,118153890,power,84651,0,13
3650.683783,117034912,power,80758,0,9
3650.72305,118069119,power,78787,0,7
3654.286742,107320150,power,74879,0,3
3654.889993,112948948,power,88607,0,17
3655.73152,112881130,power,82727,0,11
3659.163953,117679172,power,86661,0,15
3659.757546,118950738,power,76794,0,5
3659.936851,118052165,power,84651,0,13
3660.686181,115915934,power,80758,0,9
3660.724344,117424859,power,78787,0,7
3664.288624,112304688,power,74879,0,3
3664.892439,113745795,power,88607,0,17
3665.734911,110710992,power,82727,0,11
3669.16381,110880534,power,86661,0,15
3669.759316,118136935,power,76794,0,5
3669.937303,119662814,power,84651,0,13
3670.724108,118221707,power,78787,0,7
3671.014951,113016764,power,80758,0,9
3674.288257,117475721,power,74879,0,3
3674.891385,116865370,power,88607,0,17
3675.734975,111880832,power,82727,0,11
3679.164266,114983452,power,86661,0,15
3679.765351,114780003,power,76794,0,5
3679.936362,118865967,power,84651,0,13
3680.685192,115814209,power,80758,0,9
3681.92201,140753852,power,78787,0,7
3684.290496,115644667,power,74879,0,3
3684.890224,116594103,power,88607,0,17
3685.77334,113372803,power,82727,0,11
3689.163476,112864177,power,86661,0,15
3689.758904,113101535,power,76794,0,5
3689.941602,112677680,power,84651,0,13
3690.68509,113830567,power,80758,0,9
3690.7241,89874268,power,78787,0,7
3694.288615,118221707,power,74879,0,3
3695.651028,127190484,power,88607,0,17
3695.737976,112694634,power,82727,0,11
3699.162117,112559000,power,86661,0,15
3699.757877,117645264,power,76794,0,5
3699.93588,117204455,power,84651,0,13
3700.684582,115525987,power,80758,0,9
3700.723852,115848117,power,78787,0,7
3704.286983,118119982,power,74879,0,3
3705.008408,105031331,power,88607,0,17
3705.73342,104963515,power,82727,0,11
3709.163671,113932292,power,86661,0,15
3709.759846,114763048,power,76794,0,5
3709.941227,114695231,power,84651,0,13
3710.685866,114729140,power,80758,0,9
3710.725026,113033719,power,78787,0,7
3714.289243,115831163,power,74879,0,3
3715.266986,115458171,power,88607,0,17
3715.734647,115644667,power,82727,0,11
3719.165199,115729438,power,86661,0,15
3719.761869,113949246,power,76794,0,5
3719.936849,116238064,power,84651,0,13
3720.685161,102386474,power,80758,0,9
3720.726652,109965006,power,78787,0,7
3724.290364,118950738,power,74879,0,3
3724.890372,116865370,power,88607,0,17
3725.750566,113474528,power,82727,0,11
3729.163577,112575955,power,86661,0,15
3729.758973,112253824,power,76794,0,5
3729.935415,114135742,power,84651,0,13
3730.684131,127580431,power,80758,0,9
3730.725504,116729736,power,78787,0,7
3734.289188,118628607,power,74879,0,3
3734.888602,117797851,power,88607,0,17
3735.735831,113796658,power,82727,0,11
3739.164794,110405816,power,86661,0,15
3739.760412,114542644,power,76794,0,5
3739.937277,101182726,power,84651,0,13
3740.685201,105539958,power,80758,0,9
3740.726611,115644667,power,78787,0,7
3744.287158,118696425,power,74879,0,3
3744.888624,113627116,power,88607,0,17
3745.732918,116695828,power,82727,0,11
3749.163816,111897786,power,86661,0,15
3749.761261,114780002,power,76794,0,5
3749.937755,111558702,power,84651,0,13
3750.684946,115712483,power,80758,0,9
3750.723075,112186008,power,78787,0,7
3754.286332,118001302,power,74879,0,3
3754.892251,118035211,power,88607,0,17
3755.735618,114949544,power,82727,0,11
3759.164662,113406711,power,86661,0,15
3759.760251,116950141,power,76794,0,5
3759.937274,113237169,power,84651,0,13
3760.686174,116577149,power,80758,0,9
3760.724222,113762750,power,78787,0,7
3764.288856,117323134,power,74879,0,3
