time,DRAM,CPU,Iteration
3355.73884,11660257,169033474,11
3365.737305,6247627,104997423,11
3375.737222,6357829,104726155,11
3385.734049,5662706,93231202,11
3395.736022,6264580,104098849,11
3404.894441,10032653,117424858,17
3405.734513,5895827,108337403,11
3414.914379,6044176,98944770,17
3415.732074,5654229,113288031,11
3419.17044,8756849,124409993,15
3422.011572,11367797,165693495,9
3424.889365,5141364,102132162,17
3425.746504,6052653,113508437,11
3429.163188,6150140,102606879,15
3430.717836,4976061,92993842,9
3434.890823,5726285,108303494,17
3435.734354,6425646,115627713,11
3439.142645,6239149,103183323,15
3440.682885,4865858,93587239,9
3444.668891,10931226,153622097,7
3444.887093,5658467,109863281,17
3445.732228,6362067,112304687,11
3449.136553,5819533,104336209,15
3450.683003,5577935,105421279,9
3450.723471,2916125,62459310,7
3454.889314,5544027,112796360,17
3455.735525,6362067,112660726,11
3459.16342,6323920,107540554,15
3460.68223,5310907,115390353,9
3460.724921,5997551,105794271,7
3464.887056,5480449,117950439,17
3465.733099,6277297,117475722,11
3469.162537,5535550,96588135,15
3470.681408,4823472,116661920,9
3470.723794,5946690,106014675,7
3474.890631,5908542,117543538,17
3475.736094,6175571,117848714,11
3475.905705,12372334,188344319,5
3477.970271,16309950,248548719,13
3479.162023,6404452,111100938,15
3480.490436,2699958,42300754,5
3480.680919,5154080,118628608,9
3480.722577,6196763,110388862,7
3484.888563,5628798,117085775,17
3485.733841,5620320,117204454,11
3489.164343,5997552,111728245,15
3489.764037,6124709,103539361,5
3490.68233,5086263,116678873,9
3490.724838,5700853,109880235,7
3494.890522,5870395,117238363,17
3495.73294,5755955,118577745,11
3499.164723,5997552,110626220,15
3500.035922,5739000,102776422,5
3500.683505,5463495,116950141,9
3500.722038,5815295,110677084,7
3504.889904,5637275,116916233,17
3505.733014,5527072,118950738,11
3508.155981,11130438,185936822,13
3509.16471,6281535,116831462,15
3509.758021,5806817,110609266,5
3510.681549,4878574,117780898,9
3510.710222,6124708,113440619,7
3510.800918,1848009,31500922,13
3514.889136,5556742,118696424,17
3515.734473,6065369,117814806,11
3519.163757,6217956,118594699,15
3519.756225,5582173,115695530,5
3519.936485,6548564,99368625,13
3520.682504,5213419,118374294,9
3520.749459,6162855,114949545,7
3524.889101,5128648,105489095,17
3525.733124,6124708,117509630,11
3529.163501,5819533,117780898,15
3529.758083,5730523,117950439,5
3529.93621,7277595,112152100,13
3530.680638,5048116,119645861,9
3530.722482,5917020,113271077,7
3534.890327,6196764,129292806,17
3535.735256,5662706,117916531,11
3539.162387,6586711,117102729,15
3539.759518,5891588,117814806,5
3539.937024,6294250,114780002,13
3540.680268,4730225,119154188,9
3540.722689,5768670,116102431,7
3544.887055,5069309,107167562,17
3545.733461,5022685,117730035,11
3549.162826,6374783,117509630,15
3549.759484,6082323,116644965,5
3549.935589,5900065,117916531,13
3550.681007,4772610,119120280,9
3550.738184,5713568,116221110,7
3554.888347,4912482,119205051,17
3555.731822,6217957,117272271,11
3559.163054,6167094,117933485,15
3559.759888,6027222,104166667,5
3559.934387,5569458,117204454,13
3560.682194,4768371,117577447,9
3560.722154,5870396,117763943,7
3564.888656,5603367,118679471,17
3565.736688,5942450,117645263,11
3569.163854,5849202,118950738,15
3569.759838,6395976,117746989,5
3569.935137,6277297,117526585,13
3570.682192,5505880,116763645,9
3570.724806,6425645,116390652,7
