,time,DRAM,CPU,Iteration
0,3355.73884,11660257,169033474,11
1,3365.737305,6247627,104997423,11
2,3375.737222,6357829,104726155,11
3,3385.734049,5662706,93231202,11
4,3395.736022,6264580,104098849,11
5,3404.894441,10032653,117424858,17
6,3405.734513,5895827,108337403,11
0,3414.387339,28152465,437978108,0
7,3414.914379,6044176,98944770,17
8,3415.732074,5654229,113288031,11
9,3419.17044,8756849,124409993,15
10,3422.011572,11367797,165693495,9
1,3424.761225,6671482,102945964,0
11,3424.889365,5141364,102132162,17
12,3425.746504,6052653,113508437,11
2,3428.336293,12596978,163760715,2
13,3429.163188,6150140,102606879,15
14,3430.717836,4976061,92993842,9
3,3434.491294,6116231,105523003,0
15,3434.890823,5726285,108303494,17
16,3435.734354,6425646,115627713,11
4,3436.148107,4636976,71258544,2
17,3439.142645,6239149,103183323,15
18,3440.682885,4865858,93587239,9
5,3444.494705,5675422,111202664,0
19,3444.668891,10931226,153622097,7
20,3444.887093,5658467,109863281,17
21,3445.732228,6362067,112304687,11
22,3449.136553,5819533,104336209,15
23,3450.683003,5577935,105421279,9
24,3450.723471,2916125,62459310,7
6,3454.491293,5539788,114203559,0
25,3454.889314,5544027,112796360,17
26,3455.735525,6362067,112660726,11
27,3459.16342,6323920,107540554,15
28,3460.68223,5310907,115390353,9
29,3460.724921,5997551,105794271,7
7,3461.329956,18107096,238121880,18
8,3464.489504,5912781,113457574,0
30,3464.887056,5480449,117950439,17
31,3465.733099,6277297,117475722,11
32,3469.162537,5535550,96588135,15
33,3470.681408,4823472,116661920,9
34,3470.723794,5946690,106014675,7
9,3471.332119,7103814,104675293,18
10,3473.155098,24676853,396694608,2
11,3474.489169,6162855,116255018,0
35,3474.890631,5908542,117543538,17
36,3475.736094,6175571,117848714,11
37,3475.905705,12372334,188344319,5
38,3477.970271,16309950,248548719,13
39,3479.162023,6404452,111100938,15
40,3480.490436,2699958,42300754,5
41,3480.680919,5154080,118628608,9
42,3480.722577,6196763,110388862,7
12,3481.308995,7052951,103403727,18
13,3483.260572,6184048,111134847,2
14,3484.488501,6535848,115712484,0
43,3484.888563,5628798,117085775,17
44,3485.733841,5620320,117204454,11
15,3487.602515,9066263,110812717,12
45,3489.164343,5997552,111728245,15
46,3489.764037,6124709,103539361,5
47,3490.68233,5086263,116678873,9
48,3490.724838,5700853,109880235,7
16,3491.320875,6167094,107727051,18
17,3493.257548,6633335,111694336,2
18,3494.490082,6247627,113610162,0
49,3494.890522,5870395,117238363,17
50,3495.73294,5755955,118577745,11
19,3497.594174,6900364,99131266,12
51,3499.164723,5997552,110626220,15
52,3500.035922,5739000,102776422,5
53,3500.683505,5463495,116950141,9
54,3500.722038,5815295,110677084,7
20,3501.30689,6696913,110270182,18
21,3503.259019,6531609,112864176,2
22,3504.488813,6616380,115356445,0
55,3504.889904,5637275,116916233,17
56,3505.733014,5527072,118950738,11
23,3507.614201,6688436,101250542,12
57,3508.155981,11130438,185936822,13
58,3509.16471,6281535,116831462,15
59,3509.758021,5806817,110609266,5
60,3510.681549,4878574,117780898,9
61,3510.710222,6124708,113440619,7
62,3510.800918,1848009,31500922,13
24,3511.327462,6824070,112525092,18
25,3513.256745,6285773,117899577,2
26,3514.492337,6281535,116797553,0
63,3514.889136,5556742,118696424,17
64,3515.734473,6065369,117814806,11
27,3517.598421,5933973,99928114,12
65,3519.163757,6217956,118594699,15
66,3519.756225,5582173,115695530,5
67,3519.936485,6548564,99368625,13
68,3520.682504,5213419,118374294,9
69,3520.749459,6162855,114949545,7
28,3521.310699,6285773,115746393,18
29,3523.259873,6523133,117441813,2
30,3523.829735,20340813,296783447,4
31,3524.488349,5607605,118662516,0
70,3524.889101,5128648,105489095,17
71,3525.733124,6124708,117509630,11
32,3527.594721,6489224,104454889,12
72,3529.163501,5819533,117780898,15
73,3529.758083,5730523,117950439,5
74,3529.93621,7277595,112152100,13
75,3530.680638,5048116,119645861,9
76,3530.722482,5917020,113271077,7
33,3531.309297,6641812,117458767,18
34,3533.258374,5620320,115475125,2
35,3534.401653,5293952,104573567,4
36,3534.490207,5853441,117611356,0
77,3534.890327,6196764,129292806,17
78,3535.735256,5662706,117916531,11
37,3537.62095,6612142,105539957,12
38,3537.69893,9019639,128953721,16
79,3539.162387,6586711,117102729,15
80,3539.759518,5891588,117814806,5
81,3539.937024,6294250,114780002,13
82,3540.680268,4730225,119154188,9
83,3540.722689,5768670,116102431,7
39,3541.309515,6273058,117323134,18
40,3543.258313,6018745,118018256,2
41,3543.824786,6095039,96113417,4
42,3544.499184,5747477,118170844,0
84,3544.887055,5069309,107167562,17
85,3545.733461,5022685,117730035,11
43,3547.614985,6264581,107676189,12
44,3548.164579,9057787,135311551,16
86,3549.162826,6374783,117509630,15
87,3549.759484,6082323,116644965,5
88,3549.935589,5900065,117916531,13
89,3550.681007,4772610,119120280,9
90,3550.738184,5713568,116221110,7
45,3550.83484,11219448,140482584,10
46,3551.30803,6167094,117526584,18
47,3553.256717,5798340,118052165,2
48,3553.823925,6205241,108320448,4
49,3554.491479,6438362,116543240,0
91,3554.888347,4912482,119205051,17
92,3555.731822,6217957,117272271,11
50,3555.860485,3314548,51998562,16
51,3557.594142,6230672,108693440,12
93,3559.163054,6167094,117933485,15
94,3559.759888,6027222,104166667,5
52,3559.886747,6603665,95350478,10
95,3559.934387,5569458,117204454,13
96,3560.682194,4768371,117577447,9
97,3560.722154,5870396,117763943,7
53,3561.303646,5624559,117882622,18
54,3563.257764,6434123,119340685,2
55,3563.825211,6514655,109998915,4
56,3564.487001,5599127,117373996,0
98,3564.888656,5603367,118679471,17
99,3565.736688,5942450,117645263,11
57,3565.860587,6705390,105014377,16
58,3567.596032,6650289,112236871,12
100,3569.163854,5849202,118950738,15
101,3569.759838,6395976,117746989,5
59,3569.824777,5929735,103454589,10
102,3569.935137,6277297,117526585,13
60,3570.466153,13194613,198262532,14
103,3570.682192,5505880,116763645,9
104,3570.724806,6425645,116390652,7
61,3571.329086,5768670,119442410,18
62,3573.256226,6014506,118255615,2
63,3573.823827,5866156,111304390,4
64,3573.973769,2153185,31450060,14
65,3574.48987,6175571,117611356,0
105,3574.89107,5628798,119018554,17
106,3575.735592,6256104,117543539,11
66,3575.858323,5980598,109168159,16
67,3577.593788,6239149,116644965,12
107,3579.162443,5806817,118136936,15
108,3579.757641,6442599,117763943,5
68,3579.822797,6718106,104132759,10
109,3579.936973,6027221,118492974,13
110,3580.680796,5616082,118577745,9
111,3580.724182,6438361,118459066,7
69,3581.306893,5611843,118476020,18
70,3583.037212,5599128,95163981,14
71,3583.258226,6319681,118815104,2
72,3583.822598,6404453,114407009,4
73,3584.488261,5993314,118357340,0
112,3584.887667,5751715,120273166,17
113,3585.734402,6273057,117899577,11
74,3585.85638,5739000,110643175,16
75,3587.593391,5942451,115848118,12
114,3589.162543,5696615,116577148,15
115,3589.759606,6251865,118086073,5
76,3589.822646,7019043,106065538,10
116,3589.937114,6184048,119035509,13
117,3590.683648,5633037,119222005,9
118,3590.72447,6268820,117797851,7
77,3591.30821,5709330,119052463,18
78,3593.042882,5938212,108489990,14
79,3593.256597,6044176,119391547,2
80,3593.824866,5993314,115610759,4
81,3594.490002,6006029,118815104,0
119,3594.918082,6518894,117916532,17
82,3595.856037,5772908,116017659,16
120,3597.075504,6480747,125800238,11
83,3597.594892,5844964,117001003,12
121,3599.163674,5692376,117509630,15
122,3599.756838,6616381,118832058,5
84,3599.825455,6489223,109778510,10
123,3599.936407,6273058,118204752,13
124,3600.68093,5213419,119069418,9
125,3600.72311,6065368,119662815,7
85,3601.3067,5692376,117831760,18
86,3603.036346,5531311,109659831,14
87,3603.258854,6069607,118018257,2
88,3603.822871,5760192,115848117,4
89,3604.490168,6862216,117865669,0
126,3604.82155,9981791,118984646,3
127,3604.892032,6989373,112118191,17
128,3605.736158,5819533,102284750,11
90,3605.856039,5781386,116322836,16
91,3607.59578,4870096,105455187,12
92,3608.080865,15356275,202416314,6
129,3609.162996,5539788,118069119,15
130,3609.760898,6586711,117594401,5
93,3609.823226,6103516,115763346,10
131,3609.934471,6510417,117763944,13
132,3610.68211,5425347,118628607,9
133,3610.724429,5828010,119086371,7
94,3611.30574,5743239,119154189,18
95,3613.037642,5764432,111117893,14
96,3613.256901,6103516,118730333,2
97,3613.8251,6323921,116882324,4
134,3614.361076,6260342,88636610,3
98,3614.493126,6819831,116899278,0
135,3614.894481,6713867,115000407,17
136,3615.736283,5577935,111372206,11
99,3615.855699,5544027,116526285,16
100,3616.807453,5251567,83516438,6
101,3617.595531,5654230,115848117,12
102,3617.807049,25723775,423617892,8
137,3619.162921,5683899,119222005,15
138,3619.758109,7035997,117153592,5
103,3619.822692,5616082,114305285,10
139,3619.935705,6086561,119018554,13
140,3620.725281,6387499,119069418,7
141,3620.893836,5060832,117238363,9
104,3621.308717,5743239,119238959,18
105,3623.040192,5264282,113169352,14
106,3623.260094,5683899,118086073,2
107,3623.824156,5739000,116153293,4
142,3624.24961,6128947,98961724,3
108,3624.491704,6421407,113915337,0
143,3624.890468,6514656,113762749,17
144,3625.734318,5828010,116441514,11
109,3625.85774,5429585,116831462,16
110,3626.717018,6849501,106353760,6
111,3627.057369,5353292,95503066,8
112,3627.59584,6154378,114763048,12
145,3629.162409,5603366,118967692,15
146,3629.758708,5887349,116712782,5
113,3629.821835,5569458,117543538,10
147,3629.936322,5883111,120357937,13
148,3630.684507,6417169,111863878,9
149,3630.721848,6281535,117780897,7
114,3631.308141,5090501,118916830,18
115,3633.258791,5942451,118543837,2
116,3633.724204,6290012,126241048,14
117,3633.825306,6141662,115390354,4
150,3634.299781,6273057,99572076,3
118,3634.493073,7269118,109693740,0
151,3635.004541,6302727,115882026,17
152,3635.734105,6658766,114017063,11
119,3635.863496,5552504,117967394,16
120,3636.71703,7069905,111304389,6
121,3637.058125,5976359,110863579,8
122,3637.595842,5374484,118577746,12
153,3639.163395,5895827,119103326,15
154,3639.75959,5620321,117730035,5
123,3639.860427,5573697,117662218,10
155,3639.960241,6527371,118442112,13
156,3640.685756,5560981,114169651,9
157,3640.723523,5514356,107608371,7
124,3641.308787,5751716,119866265,18
125,3643.038607,5073547,104387071,14
126,3643.26032,6463792,118492974,2
127,3643.825425,6239150,111423069,4
158,3644.289948,5505880,101979573,3
128,3644.491128,5802578,101453993,0
159,3644.890116,5412632,111083984,17
160,3645.736676,6692674,113610162,11
129,3645.85781,5917020,117221408,16
130,3646.717036,6315444,110439725,6
131,3647.059551,6468031,112728543,8
132,3647.596059,5357531,118459065,12
161,3649.161547,6039937,118374295,15
162,3649.760984,6141662,119205051,5
133,3649.822715,5501641,117645264,10
163,3649.936689,6260342,118153890,13
164,3650.683783,6404452,117034912,9
165,3650.72305,6192526,118069119,7
134,3651.308272,5828010,118882921,18
135,3653.037687,5933974,116712783,14
136,3653.25668,5293952,118255615,2
137,3653.822638,5476210,116424560,4
166,3654.286742,6451077,107320150,3
138,3654.490714,6201003,115458170,0
167,3654.889993,6514655,112948948,17
168,3655.73152,6518894,112881130,11
139,3655.856577,5361769,118560791,16
140,3656.717226,6955464,110354953,6
141,3657.058134,6743537,115780301,8
142,3657.594195,5599128,118543837,12
169,3659.163953,6302728,117679172,15
170,3659.757546,5425348,118950738,5
143,3659.82418,5967882,117560492,10
171,3659.936851,6718106,118052165,13
172,3660.686181,5565220,115915934,9
173,3660.724344,6480746,117424859,7
144,3661.322557,5984836,118967692,18
145,3663.039244,5832248,117289225,14
146,3663.25846,5298191,117679172,2
147,3663.822646,5658467,117746989,4
174,3664.288624,5929735,112304688,3
148,3664.490459,6022983,113830567,0
175,3664.892439,6184048,113745795,17
176,3665.734911,6828308,110710992,11
149,3665.859541,5459255,118781196,16
150,3666.716145,6205241,113016764,6
151,3667.057658,5849202,117475721,8
152,3667.595413,4798041,119323731,12
177,3669.16381,7510715,110880534,15
178,3669.759316,6234910,118136935,5
153,3669.914596,5874634,118899875,10
179,3669.937303,6646050,119662814,13
180,3670.724108,6285774,118221707,7
181,3671.014951,6951226,113016764,9
154,3672.731941,6811354,129699707,18
155,3673.037928,5548265,119289822,14
156,3673.259846,6853739,116136339,2
157,3673.824966,5751716,117899577,4
182,3674.288257,6048414,117475721,3
158,3674.490489,6586710,117577446,0
183,3674.891385,6145901,116865370,17
184,3675.734975,6044176,111880832,11
159,3675.858651,5798340,117882623,16
160,3676.717212,5857680,110609267,6
161,3677.058616,5565220,117068821,8
162,3677.59353,5276998,118103027,12
185,3679.164266,6764729,114983452,15
186,3679.765351,7074145,114780003,5
187,3679.936362,6629096,118865967,13
163,3680.316099,5866156,118340387,10
188,3680.685192,6510417,115814209,9
189,3681.92201,8205837,140753852,7
164,3681.996283,6896125,100589328,18
165,3683.039026,5467733,117967393,14
166,3683.258193,6730822,113067627,2
167,3683.823961,5577935,118916829,4
190,3684.290496,5933974,115644667,3
168,3684.489802,7425944,116034614,0
191,3684.890224,6370545,116594103,17
192,3685.77334,6052653,113372803,11
169,3685.882445,5959405,117255316,16
170,3686.716454,6544325,113762749,6
171,3687.056255,5289713,117492675,8
172,3687.592417,5107456,118035210,12
193,3689.163476,6764730,112864177,15
194,3689.758904,7078382,113101535,5
173,3689.824517,5836487,118628608,10
195,3689.941602,7214017,112677680,13
196,3690.68509,6518893,113830567,9
197,3690.7241,6184049,89874268,7
174,3691.310476,6514655,100335015,18
175,3693.039224,6586710,116543241,14
176,3693.415195,5560981,116899278,2
177,3693.824558,5438063,118238661,4
198,3694.288615,5713569,118221707,3
178,3694.502245,6404453,115949843,0
199,3695.651028,6946987,127190484,17
200,3695.737976,6290012,112694634,11
179,3695.858343,6069607,115593805,16
180,3696.716185,6637573,116594103,6
181,3697.057406,6116232,117713081,8
182,3697.592339,5026923,118103028,12
201,3699.162117,6972419,112559000,15
202,3699.757877,6404453,117645264,5
183,3699.823451,5683899,118815104,10
203,3699.93588,7341173,117204455,13
204,3700.684582,6815593,115525987,9
205,3700.723852,6234910,115848117,7
184,3701.309016,6442600,116000706,18
185,3703.039029,6497702,115712483,14
186,3703.258904,6535848,114915636,2
187,3703.823644,5789863,118967692,4
206,3704.286983,5637275,118119982,3
188,3704.490486,6879171,115390354,0
207,3705.008408,5391439,105031331,17
208,3705.73342,4391140,104963515,11
189,3705.860886,5637275,116729736,16
190,3706.716021,6256104,116339789,6
191,3707.055842,5209181,107608371,8
192,3707.592768,5149841,118476020,12
209,3709.163671,6230672,113932292,15
210,3709.759846,6111993,114763048,5
193,3709.824133,6226434,116068522,10
211,3709.941227,7230970,114695231,13
212,3710.685866,5624559,114729140,9
213,3710.725026,7086860,113033719,7
194,3711.959873,7676019,125596788,18
195,3713.037816,6302727,114305285,14
196,3713.258382,6569756,116695828,2
197,3713.824112,5874634,118306478,4
214,3714.289243,6268819,115831163,3
198,3714.490665,6586710,115763346,0
215,3715.266986,5412632,115458171,17
216,3715.734647,5921258,115644667,11
199,3715.858226,5620321,117119683,16
200,3716.71773,5984836,115898980,6
201,3717.058261,5870395,117272271,8
202,3717.595828,6290012,115542941,12
217,3719.165199,6841024,115729438,15
218,3719.761869,7116529,113949246,5
219,3719.936849,7158915,116238064,13
203,3719.969834,6747775,114780002,10
220,3720.685161,5722046,102386474,9
221,3720.726652,7379320,109965006,7
204,3721.310404,6412929,105726454,18
205,3723.038179,6629096,113779703,14
206,3723.258548,5739000,100674100,2
207,3723.825644,6116231,117967394,4
222,3724.290364,6116231,118950738,3
208,3724.489232,6535848,118255615,0
223,3724.890372,5921258,116865370,17
224,3725.750566,6065369,113474528,11
209,3725.860051,5086263,119628906,16
210,3726.71318,5679660,118306478,6
211,3727.05563,5544027,118408203,8
212,3727.596663,6807116,111728245,12
225,3729.163577,5777147,112575955,15
226,3729.758973,6701152,112253824,5
213,3729.837726,7120769,114220513,10
227,3729.935415,6756253,114135742,13
228,3730.684131,4793803,127580431,9
229,3730.725504,6201002,116729736,7
214,3731.310678,6785923,114746094,18
215,3733.037455,5548265,117238363,14
216,3733.257116,7082621,126715766,2
217,3734.105894,6332397,117780897,4
230,3734.289188,5823771,118628607,3
218,3734.496621,6239150,116390652,0
231,3734.888602,5539788,117797851,17
232,3735.735831,5382961,113796658,11
219,3735.857652,5544026,118950738,16
220,3736.714728,5777147,118238661,6
221,3737.057528,5794101,119340685,8
222,3737.595893,6353590,115898980,12
233,3739.164794,6934272,110405816,15
234,3739.760412,5840725,114542644,5
223,3739.824041,5370246,103454590,10
235,3739.937277,5692376,101182726,13
236,3740.685201,5620320,105539958,9
237,3740.726611,6777446,115644667,7
224,3741.309608,6438361,117628309,18
225,3743.036574,5628798,118899875,14
226,3743.260308,6099277,104726155,2
227,3743.826454,7781983,109812419,4
238,3744.287158,4649692,118696425,3
228,3744.488936,5840725,116458469,0
239,3744.888624,5658467,113627116,17
240,3745.732918,5857680,116695828,11
229,3745.85976,5649991,117289225,16
230,3746.714405,6103516,116611057,6
231,3747.056885,6739298,111728244,8
232,3747.596228,6290012,114203559,12
241,3749.163816,6328159,111897786,15
242,3749.761261,6323921,114780002,5
233,3749.824335,5823771,119035509,10
243,3749.937755,6027222,111558702,13
244,3750.684946,6150140,115712483,9
245,3750.723075,6934272,112186008,7
234,3751.307508,6353591,113983154,18
235,3753.036097,5777147,118628608,14
236,3753.259417,6256104,113220215,2
237,3753.798963,7430182,110727946,4
246,3754.286332,6273058,118001302,3
238,3754.488986,6718106,115831163,0
247,3754.892251,5230374,118035211,17
248,3755.735618,5586412,114949544,11
239,3755.857207,5683899,119205051,16
240,3756.716094,4993015,119086372,6
241,3757.059969,6209480,113593208,8
242,3757.595407,6476508,111897786,12
249,3759.164662,6018745,113406711,15
250,3759.760251,6226433,116950141,5
243,3759.821501,5955166,118747287,10
251,3759.937274,6099277,113237169,13
252,3760.686174,5679661,116577149,9
253,3760.724222,6357829,113762750,7
244,3761.408482,6408691,113220215,18
245,3763.036775,5764432,119272868,14
246,3763.382921,6001790,113983154,2
247,3763.825053,6802877,115814209,4
254,3764.288856,6035699,117323134,3
248,3764.489772,5887349,115865072,0
255,3764.888662,6713867,115661621,17
256,3765.731628,4908244,112796360,11
249,3765.857177,5908542,118696425,16
250,3766.714505,5772908,118577745,6
251,3767.056772,5840725,115712484,8
252,3767.596015,5980598,112016466,12
257,3769.163768,6001790,112881131,15
258,3769.763965,6095039,117221408,5
