train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
258.2746887207031,0,4,,,,,,
,0,5,163709.984375,259.8072204589844,,,,
,0,5,,,674365.25,517.5901489257812,,
282.94329833984375,1,9,,,,,,
,1,11,127034.0703125,233.15765380859375,,,,
,1,11,,,207734.65625,293.5516357421875,,
259.6819152832031,2,14,,,,,,
,2,17,124833.796875,235.91041564941406,,,,
,2,17,,,139352.703125,256.0763244628906,,
207.72677612304688,3,19,,,,,,
,3,23,121540.9140625,245.76953125,,,,
,3,23,,,118775.109375,236.0883331298828,,
278.78863525390625,4,24,,,,,,
207.75665283203125,4,29,,,,,,
,4,29,127392.2109375,240.375,,,,
,4,29,,,156872.359375,253.8813018798828,,
265.33660888671875,5,34,,,,,,
,5,35,142960.625,253.329345703125,,,,
,5,35,,,151025.90625,249.80682373046875,,
254.56602478027344,6,39,,,,,,
,6,41,123391.640625,238.42178344726562,,,,
,6,41,,,159765.65625,257.1060485839844,,
225.16525268554688,7,44,,,,,,
,7,47,128447.9375,242.57875061035156,,,,
,7,47,,,139202.234375,252.129150390625,,
182.9864959716797,8,49,,,,,,
,8,53,126558.0703125,243.04954528808594,,,,
,8,53,,,157391.71875,257.5402526855469,,
199.3678741455078,9,54,,,,,,
158.380615234375,9,59,,,,,,
,9,59,126398.015625,244.95310974121094,,,,
,9,59,,,166157.484375,259.8811950683594,,
228.81503295898438,10,64,,,,,,
,10,65,118801.8671875,252.67950439453125,,,,
,10,65,,,137150.984375,239.23887634277344,,
224.1053466796875,11,69,,,,,,
,11,71,116450.9453125,245.80963134765625,,,,
,11,71,,,137533.546875,249.1692352294922,,
223.20211791992188,12,74,,,,,,
,12,77,138089.6875,254.88433837890625,,,,
,12,77,,,155083.84375,260.36834716796875,,
314.66522216796875,13,79,,,,,,
,13,83,117683.4453125,239.14532470703125,,,,
,13,83,,,124118.421875,235.9036102294922,,
229.17845153808594,14,84,,,,,,
253.84561157226562,14,89,,,,,,
,14,89,115800.4375,245.3411102294922,,,,
,14,89,,,146908.5,254.91134643554688,,
328.45660400390625,15,94,,,,,,
,15,95,114953.75,242.32078552246094,,,,
,15,95,,,133778.921875,250.96424865722656,,
307.87396240234375,16,99,,,,,,
,16,101,193708.921875,300.61114501953125,,,,
,16,101,,,131946.359375,255.60174560546875,,
246.42019653320312,17,104,,,,,,
,17,107,137335.234375,255.11074829101562,,,,
,17,107,,,131779.046875,253.86126708984375,,
247.8369598388672,18,109,,,,,,
,18,113,119355.3125,241.57789611816406,,,,
,18,113,,,137399.765625,240.64736938476562,,
226.79202270507812,19,114,,,,,,
377.7437438964844,19,119,,,,,,
,19,119,151933.328125,290.83587646484375,,,,
,19,119,,,116955.2890625,230.33782958984375,,
243.02066040039062,20,124,,,,,,
,20,125,121038.8203125,240.95082092285156,,,,
,20,125,,,128226.2421875,248.57261657714844,,
235.67039489746094,21,129,,,,,,
,21,131,123756.25,243.1472625732422,,,,
,21,131,,,129459.328125,241.77357482910156,,
228.03372192382812,22,134,,,,,,
,22,137,121821.796875,241.57098388671875,,,,
,22,137,,,115351.4375,244.89837646484375,,
173.7887725830078,23,139,,,,,,
,23,143,119796.5,249.91053771972656,,,,
,23,143,,,124060.9375,226.3092803955078,,
261.3890075683594,24,144,,,,,,
214.90225219726562,24,149,,,,,,
,24,149,113567.5703125,238.12411499023438,,,,
,24,149,,,136787.421875,257.1007385253906,,
320.5010070800781,25,154,,,,,,
,25,155,113277.9375,239.73887634277344,,,,
,25,155,,,154478.984375,266.3347473144531,,
220.84378051757812,26,159,,,,,,
,26,161,115604.4921875,246.23768615722656,,,,
,26,161,,,119559.2421875,232.72616577148438,,
265.3970031738281,27,164,,,,,,
,27,167,149823.0,264.218017578125,,,,
,27,167,,,119402.9375,239.6802215576172,,
210.04656982421875,28,169,,,,,,
,28,173,129990.9375,251.76919555664062,,,,
,28,173,,,123892.546875,241.01112365722656,,
190.16717529296875,29,174,,,,,,
222.63539123535156,29,179,,,,,,
,29,179,122150.5625,245.7880859375,,,,
,29,179,,,143594.15625,245.1548614501953,,
234.56248474121094,30,184,,,,,,
,30,185,122848.015625,243.8893585205078,,,,
,30,185,,,139011.296875,241.9706268310547,,
245.23147583007812,31,189,,,,,,
,31,191,156957.328125,270.7738952636719,,,,
,31,191,,,112881.8203125,236.1554412841797,,
257.0084228515625,32,194,,,,,,
,32,197,123209.9140625,245.119140625,,,,
,32,197,,,141499.078125,258.9232482910156,,
249.93978881835938,33,199,,,,,,
